pair_id,arm_id,arm_type,candidate_id,schema_id,run_id,replicate_index,episode_index,step_index,tier,state_cell_id,action_cell_id,candidate_lift_count,executable_lift_count,selected_lift_source,selected_lift_target,selected_action_index,lift_status,failure_reason
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,15,1,"StateCellId(tier=1, ordinal=55)","ActionCellId(tier=1, ordinal=162)",1,1,"PlateSupportState(x_idx=3, y_idx=3, theta_idx=0, e1=2, e2=2, e3=2)","PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=2)",3,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,16,1,"StateCellId(tier=1, ordinal=50)","ActionCellId(tier=1, ordinal=167)",1,1,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=2)","PlateSupportState(x_idx=3, y_idx=3, theta_idx=0, e1=2, e2=2, e3=2)",2,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,17,1,"StateCellId(tier=1, ordinal=55)","ActionCellId(tier=1, ordinal=162)",1,1,"PlateSupportState(x_idx=3, y_idx=3, theta_idx=0, e1=2, e2=2, e3=2)","PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=2)",3,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,18,1,"StateCellId(tier=1, ordinal=50)","ActionCellId(tier=1, ordinal=166)",1,1,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=2, e2=2, e3=2)","PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=2)",7,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,19,1,"StateCellId(tier=1, ordinal=51)","ActionCellId(tier=1, ordinal=138)",1,1,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=2, e3=2)","PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=1, e3=2)",9,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,20,1,"StateCellId(tier=1, ordinal=57)","ActionCellId(tier=1, ordinal=173)",1,1,"PlateSupportState(x_idx=3, y_idx=2, theta_idx=0, e1=1, e2=1, e3=2)","PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=2)",1,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,21,1,"StateCellId(tier=1, ordinal=61)","ActionCellId(tier=1, ordinal=203)",1,1,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=1, e3=2)","PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=0, e3=2)",9,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,22,1,"StateCellId(tier=1, ordinal=65)","ActionCellId(tier=1, ordinal=247)",1,1,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=0, e3=2)","PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=0, e3=1)",11,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,23,1,"StateCellId(tier=1, ordinal=69)","ActionCellId(tier=1, ordinal=271)",1,1,"PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=0, e3=1)","PlateSupportState(x_idx=2, y_idx=1, theta_idx=0, e1=1, e2=0, e3=1)",3,success,
pairrep001,plate_support_selected_tower_candidate:plate_support_candidate:source_local_ratio:0:342448ef2e,selected_tower_candidate,plate_support_candidate:source_local_ratio:0:342448ef2e,plate_support_schema_source_local_ratio_001_over_018_v001,smoke_001-pairrep001-plate-support-selected-tower-candidate-plate-support-candidate-source-local-ratio-0-342448ef2e,1,26,24,1,"StateCellId(tier=1, ordinal=71)","ActionCellId(tier=1, ordinal=309)",1,1,"PlateSupportState(x_idx=2, y_idx=1, theta_idx=0, e1=1, e2=0, e3=1)","PlateSupportState(x_idx=2, y_idx=2, theta_idx=0, e1=1, e2=0, e3=1)",2,success,
